$GPGGA,30525.354,3754.4082,S,14508.0686,E,1,7,1.34,103.4,M,-4.1,M,,,
$GPGGA,30526.354,3754.4083,S,14508.069,E,1,7,1.34,103.4,M,-4.1,M,,,
$GPGGA,30527.355,3754.4089,S,14508.0662,E,1,5,1.91,103.5,M,-4.1,M,,,
$GPGGA,30529,3754.4091,S,14508.0667,E,1,7,1.34,103.5,M,-4.1,M,,*56,
$GPGGA,30530,3754.409,S,14508.069,E,1,7,1.34,103.6,M,-4.1,M,,,
$GPGGA,30531,3754.4091,S,14508.0718,E,1,7,1.34,103.6,M,-4.1,M,,,"<gpx version=""1.1 [1] ?""> 
<metadata> metadataType </metadata> [0..1] ?
<wpt> wptType </wpt> [0..*] ?
<rte> rteType </rte> [0..*] ?
<trk> trkType </trk> [0..*] ?
<extensions> extensionsType </extensions> [0..1] ?
</gpx>"
$GPGGA,30532,3754.4091,S,14508.0732,E,1,7,1.34,103.6,M,-4.1,M,,,
$GPGGA,30533,3754.4093,S,14508.0744,E,1,7,1.34,103.6,M,-4.1,M,,*53,
$GPGGA,30534,3754.4094,S,14508.0754,E,1,7,1.34,103.6,M,-4.1,M,,,
$GPGGA,30535,3754.4095,S,14508.0761,E,1,7,1.34,103.7,M,-4.1,M,,,
$GPGGA,30536,3754.4097,S,14508.0767,E,1,7,1.34,103.7,M,-4.1,M,,,
$GPGGA,30537,3754.4097,S,14508.0773,E,1,7,1.34,103.7,M,-4.1,M,,,
$GPGGA,30538,3754.4097,S,14508.078,E,1,7,1.34,103.7,M,-4.1,M,,,
$GPGGA,30539,3754.4096,S,14508.0788,E,1,7,1.34,103.8,M,-4.1,M,,,
$GPGGA,30540,3754.4096,S,14508.0794,E,1,8,1,103.7,M,-4.1,M,,,
$GPGGA,30541,3754.4096,S,14508.08,E,1,8,1,103.7,M,-4.1,M,,,
$GPGGA,30542,3754.4096,S,14508.0809,E,1,8,1,103.7,M,-4.1,M,,,
$GPGGA,30543,3754.4095,S,14508.0817,E,1,8,1,103.7,M,-4.1,M,,,
$GPGGA,30544,3754.4094,S,14508.0826,E,1,8,1,103.7,M,-4.1,M,,,
$GPGGA,30545,3754.4093,S,14508.0835,E,1,8,1,103.8,M,-4.1,M,,,
$GPGGA,30546,3754.4093,S,14508.0844,E,1,8,1,103.8,M,-4.1,M,,*58,
$GPGGA,30547,3754.4092,S,14508.0854,E,1,8,1,103.8,M,-4.1,M,,,
$GPGGA,30548,3754.4092,S,14508.0863,E,1,8,1,103.9,M,-4.1,M,,,
$GPGGA,30549,3754.4091,S,14508.0873,E,1,8,1,103.9,M,-4.1,M,,,
$GPGGA,30550,3754.4091,S,14508.0882,E,1,8,1,103.9,M,-4.1,M,,,
$GPGGA,30551,3754.409,S,14508.0891,E,1,8,1,103.9,M,-4.1,M,,,
